School Division,2011-12 Budget ($000s),2012-13 Budget ($000s),2014-15 Budget ($000s),2015-16 Budget ($000s),2016-17 Budget ($000s),2017-18 Budget ($000s),2018-19 Budget ($000s)
Chinook School Division,78010,81382,81420,84736,83219,76996,77183
Christ the Teacher Roman Catholic Separate School Division,16093,17226,17598,18328,18610,17739,18429
Conseil des Ã‰cole Fransaskoises,22589,24331,32494,33482,33680,32958,33045
Creighton School Division,5752,5844,5708,5898,5850,5498,5583
Englefeld Protestant Separate School Division,1139,1195,1288,1344,1368,,
Good Spirit School Division,63992,67747,70602,72627,71097,69610,71091
Holy Family Roman Catholic Separate School Division,10554,11323,12347,13288,13276,12737,12920
Holy Trinity Roman Catholic Separate School Division,20685,22131,22450,23560,23417,22688,23510
Horizon School Division,67937,72475,72773,76042,75622,72934,75571
Ile a la Crosse School Division,5036,5392,6040,7046,6907,6531,6750
Light of Christ Roman Catholic Separate School Division,17977,19322,19629,20383,20479,19733,20412
Living Sky School Division,63278,65205,64233,66404,65398,61910,61383
Lloydminster Roman Catholic Separate School Division,5829,6250,7844,8832,9450,10415,10389
Lloydminster School Division,13044,13349,14733,15562,16410,15807,16566
North East School Division,53485,55565,54720,58341,56257,54907,55572
Northern Lights School Division,50634,52755,57083,59912,60853,60112,61306
Northwest School Division,51158,53029,54017,57211,55803,54675,55737
Prairie South School Division,80990,83934,80749,84137,83813,80507,80774
Prairie Spirit School Division,94846,97656,101647,105883,107906,105769,108979
Prairie Valley School Division,88353,90224,89561,93973,93878,91128,92763
Prince Albert Roman Catholic Separate School Division,26771,28791,30676,30956,31408,30646,30144
Regina Roman Catholic Separate School Division,85360,91545,99596,107576,109943,108735,112626
Regina School Division,182595,196939,210058,220462,227147,222591,228302
Saskatchewan Rivers School Division,82862,88288,87901,93007,93307,89947,92344
Saskatoon School Division,188629,201876,219040,229969,236278,232900,237159
South East Cornerstone School Division,84963,89855,93243,96296,95647,92478,94658
St. Paul's Roman Catholic Separate School Division,134192,142063,157915,164604,167406,166544,173431
Sun West School Division,54168,56287,56652,59582,60965,58257,59461
Provincial Total,1650921,1741981,1822017,1909441,1925394,1875999,1916090